"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\.eslintrc.cjs", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\annem\Documents\Programming\pathfinder-sheet\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\package-lock.json", "JSON", 4465, 0, 0, 0, 0, 0, 0, 1, 4466
"c:\Users\annem\Documents\Programming\pathfinder-sheet\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 6, 43
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 1, 4, 26
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Attributes\AttributeDisplayTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 6, 14, 119
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Attributes\getModifier.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 0, 15
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 14, 19, 132
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffList.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 8, 8, 82
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 7, 11, 99
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffSelectorItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\SelectedBuffItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 1, 14, 63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 13, 13, 90
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterSheet.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 7, 10, 81
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterArchetypesOfBaseClass.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 4, 1, 18
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterArchetypesOfBaseClassRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 5, 1, 35
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 4, 56
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 233, 0, 21, 48, 302
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 124, 0, 8, 17, 149
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassToAdd.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 13, 13, 87
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassToAddRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 14, 10, 89
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\HPCell.jsx", "JavaScript JSX", 0, 0, 0, 0, 74, 0, 13, 9, 96
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\LevelCell.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 12, 10, 92
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\NewCharacterClass.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 6, 8, 86
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\Gameplay\ac.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\Gameplay\attributes.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\Gameplay\hp.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\Gameplay\saves.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 8, 35
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\formatCharacter.js", "JavaScript", 0, 0, 0, 32, 0, 0, 2, 7, 41
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\initialiseChar.js", "JavaScript", 0, 0, 0, 61, 0, 0, 6, 19, 86
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\totalCharacterLevel.js", "JavaScript", 0, 0, 0, 16, 0, 0, 3, 1, 20
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\SelectCharacter.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 8, 38
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\BasicsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 5, 6, 110
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\Combat\CombatTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 3, 2, 34
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\Combat\SavesTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 2, 1, 49
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\SkillsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 5, 11, 70
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassList.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 1, 4, 34
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 18, 11, 114
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 4, 15, 97
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\babsaves.js", "JavaScript", 0, 0, 0, 16, 0, 0, 4, 3, 23
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\compatibleArchetypes.js", "JavaScript", 0, 0, 0, 106, 0, 0, 17, 18, 141
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\maxLevel.js", "JavaScript", 0, 0, 0, 15, 0, 0, 1, 0, 16
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Formatting\Formatting.js", "JavaScript", 0, 0, 0, 11, 0, 0, 2, 1, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Generic\ExpandTableRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 4, 0, 27
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\AddNew.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 1, 8, 61
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Character.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 2, 6, 36
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\EditBuff.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\New\NewBuff.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 2, 11, 71
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\New\NewClass.jsx", "JavaScript JSX", 0, 0, 0, 0, 1116, 0, 107, 167, 1390
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRow.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 13, 19, 135
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRowRank.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 13, 14, 125
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 95, 0, 15, 19, 129
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellKnownTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 125, 0, 11, 23, 159
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 143, 0, 29, 39, 211
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Spells\SpellsPerDayTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 1, 2, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\index.css", "CSS", 0, 0, 0, 0, 0, 194, 1, 37, 232
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\test\NewClass.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 1, 2, 8
"Total", "-", 4496, 1, 13, 343, 3712, 231, 429, 701, 9926